Entity,Code,Year,"Threshold (Poorest decile, 2017 prices) - Income or consumption consolidated",1039312-annotations,"Threshold (Richest decile, 2017 prices) - Income or consumption consolidated",1039320-annotations,Population (historical),World regions according to OWID,time,time,time,time
Suriname,SUR,2022,5.2075205,,30.639736,,623128,South America,2022,2023,2022,2022
Sweden,SWE,2022,24.716623,,98.045006,,10487289,Europe,2022,2023,2021,2021
Switzerland,CHE,2022,32.32004,,137.61266,,8792128,Europe,2022,2023,2020,2020
Syria,SYR,2022,1.5837464,,5.5290885,,22462118,Asia,2022,2023,2022,2022
Taiwan,TWN,2022,22.283592,,85.254295,,23420051,Asia,2022,2023,2021,2021
Tanzania,TZA,2022,1.1733012,,5.988662,,64711777,Africa,2022,2023,2018,2018
Thailand,THA,2022,6.468576,,30.265888,,71735273,Asia,2022,2023,2021,2021
Togo,TGO,2022,1.4634322,,7.817502,,9089693,Africa,2022,2023,2021,2021
Tonga,TON,2022,5.543047,,18.650984,,105012,Oceania,2022,2023,2021,2021
Tunisia,TUN,2022,5.8010173,,24.711256,,12119284,Africa,2022,2023,2021,2021
Turkey,TUR,2022,7.6612687,,50.495163,,87058421,Asia,2022,2023,2021,2021
Uganda,UGA,2022,1.1161057,,6.4376006,,47312665,Africa,2022,2023,2019,2019
Ukraine,UKR,2022,7.422507,,22.899817,,41048717,Europe,2022,2023,2020,2020
United Arab Emirates,ARE,2022,34.624123,,125.70738,,10242033,Asia,2022,2023,2018,2018
United Kingdom,GBR,2022,21.97058,,94.24949,,68179267,Europe,2022,2023,2021,2021
United States,USA,2022,22.932451,,156.41948,,341533996,North America,2022,2023,2022,2022
Uruguay,URY,2022,8.094083,,53.948948,,3390863,South America,2022,2023,2022,2022
Uzbekistan,UZB,2022,5.220322,,24.087793,,34938911,Asia,2022,2023,2022,2022
Vanuatu,VUT,2022,2.1503327,,9.362888,,313014,Oceania,2022,2023,2019,2019
Vietnam,VNM,2022,5.068902,,25.06949,,99680606,Asia,2022,2023,2022,2022
Zambia,ZMB,2022,0.49771932,,5.5207067,,20152890,Africa,2022,2023,2022,2022
Zimbabwe,ZWE,2022,1.1027011,,9.015284,,16069010,Africa,2022,2023,2019,2019
