Year,Population (England),d/day,silver purity,penny weight in g,Ag per penny g,£/kg,g. Ag/day,bread d/lb,Cost in d for 2500 Kcal,Minutes Req,Cost in Silver for 2500 Kcal Bread,min per g Ag,60 min labour in silver,60 min labour in bread
1634,5067837.215085254,9.106359764981988,0.9300001304528074,0.5180000414233663,0.48000009112834763,8.70000004255173,4.3860296268325065,1.463325120719201,3.048594001926567,160.54539113649986,1.4623729965671446,109.76633397387525,0.5416729962545603,0.4277970027715329
1635,5094742.597135263,9.140025422841653,0.9300001099685138,0.5180000260410387,0.48000007395184463,8.700000174778756,4.40292469072339,1.4641209414739706,3.0502519618279678,160.1151055690288,1.4640221077506608,109.39570693571491,0.5444606017819819,0.443184312126749
1636,5120788.571414451,9.174089046873982,0.930000080686739,0.5180000085754277,0.48000005085919406,8.70000029302348,4.419585779356401,1.4626670869108225,3.047223098143131,159.43561155603544,1.4633494503141236,109.03342334269738,0.5472913591668448,0.4591168765118253
1637,5145237.298840519,9.213118316605984,0.9300000550490004,0.5179999972385185,0.48000003191768437,8.700000334667967,4.4376238546005675,1.4603280654818513,3.042350136817916,158.58435399263587,1.461610910820789,108.61271085261711,0.5502606776810781,0.47276472749168846
1638,5168088.779413468,9.257113232037655,0.9300000330552979,0.517999992030311,0.4800000171273156,8.700000299712219,4.4570389164558915,1.4571038771870575,3.0356330778523235,157.56133287883017,1.4588064892706576,108.13356946547415,0.5533685573246818,0.4841278650663388
1639,5189343.013133294,9.306073793168993,0.9300000147056309,0.5179999929508047,0.4800000064880874,8.700000188156228,4.477830964922369,1.4529945220264402,3.027071921246351,156.36654821461818,1.4549361856637277,107.59599918126844,0.5566149980976558,0.493206289235776
1640,5209000.0,9.36,0.93,0.518,0.48,8.7,4.5,1.448,3.016666667,155.0,1.45,107.0,0.56,0.5
1641,5227059.740013589,9.41889185253068,0.9299999889384054,0.518000013177897,0.47999999766305346,8.699999735243535,4.523546021688789,1.442120311107737,3.004417315113272,153.46168823497564,1.4439979322794756,106.34557192166886,0.5635235630317149,0.5045089973590112
1642,5243522.233174056,9.482749350761026,0.9299999815208466,0.5180000324844956,0.47999999947724775,8.699999393886833,4.548469029988732,1.4353554553496513,2.9903238655861655,151.7516129195451,1.436929982502153,105.632714946275,0.5671856871927999,0.5067332813128093
1643,5258387.479481401,9.551572494691039,0.9299999777473236,0.5180000579197954,0.48000000544258264,8.699998975929889,4.5747690248998305,1.4277054327257415,2.9743863184186785,149.8697740537083,1.4287961506680327,104.86142907381837,0.5709863724832552,0.5066728518613941
